0,1,2,3
[49:54] dopy fine so here uh so first of course,,,
[49:57] we need this okay let me just close this,,,
[49:58] server contrl,,,
[50:01] C so first let's import uh import,,,
[50:11] [Music],,,
[50:15] streamlet stream late as,,,
[50:19] St okay make sure you install this,,,
[50:21] streamlet uh I think we have installed,,,
[50:24] let me just verify that,,,
[50:38] so let me just do pip,,,
[50:50] install all right so here uh so first,,,
[50:53] install the streamlet as St,,,
[50:57] so next import uh,,,
[51:00] pandas as,,,
[51:04] PD then from pandas as,,,
[51:11] PD why it's taking,,,
[51:17] full all right so next from date,,,
[51:23] time uh import,,,
[51:27] uh date,,,
[51:30] time and from SRC do,,,
[51:35] agent uh import a water intake,,,
[51:40] agent and from SRC do database so this,,,
[51:44] is the place where you will be storing,,,
[51:46] directly from the UI okay so import log,,,
[51:49] intake as well as uh get history get,,,
[51:52] intake history,,,
[51:57] okay so initially first let's check if,,,
[51:59] the user has started tracking or not,,,
[52:01] okay so for that let me just add the if,,,
[52:03] condition so if uh tracker,,,
[52:08] started uh,,,
[52:11] started uh not in st.,,,
[52:17] session uh session,,,
[52:21] State uh session State then st. session,,,
[52:25] state do do tracker started equal set to,,,
[52:29] false okay here we are just checking,,,
[52:31] whether uh the user has started tracking,,,
[52:34] or not okay it's set to false all right,,,
[52:37] let me just save,,,
[52:40] this okay so here we need to have the,,,
[52:43] two section one is the uh just a welcome,,,
[52:46] section okay then we can have the uh,,,
[52:47] tracker dashboard so let's add the,,,
[52:50] welcome,,,
[52:51] session so here let me just write down,,,
[52:54] the comment,,,
[52:59] welcome,,,
[53:01] section directly we can't add the,,,
[53:03] tracker right so we can add some uh,,,
[53:05] headings here,,,
[53:06] okay so if not if not uh St do,,,
[53:14] session,,,
[53:16] state do tracker started okay so then,,,
[53:21] set the title so St do title and the,,,
[53:24] title I'll just give here welcome to AI,,,
[53:27] water,,,
[53:29] tracker welcome to uh AI water,,,
[53:36] tracker okay and even we can add some,,,
[53:38] markdown also like uh STD,,,
[53:44] dot,,,
[53:53] markdown so let me just write down like,,,
[53:56] track,,,
[53:58] track your uh daily,,,
[54:02] hydration daily,,,
[54:04] hydration with help of an AI,,,
[54:11] assistant assistant and log,,,
[54:16] your uh intake log your intake some def,,,
[54:21] some paragraph Okay so get our smart,,,
[54:25] feedback,,,
[54:28] and stay,,,
[54:30] hydrated stay healthy okay stay,,,
[54:35] healthy,,,
[54:47] effortlessly all right so here uh let me,,,
[54:49] just add the button inside this so if St,,,
[54:53] do,,,
[54:55] button like start the tracker okay so,,,
[54:57] this is the way we going to display the,,,
[54:58] tracker okay so ft FST do button so here,,,
[55:02] we're going to mention like start,,,
[55:06] tracking okay start,,,
[55:15] tracking so that is St do session,,,
[55:19] state do tracker started is set to true,,,
[55:23] now in it was false okay,,,
[55:26] uh true and uh St do,,,
[55:34] experimental experimental,,,
[55:38] rerun okay contrl s all right so this is,,,
[55:42] just a welcome section okay so here we,,,
[55:44] just added the basic information uh so,,,
[55:46] now let's try to add the tracker,,,
[55:48] dashboard so let me just uh have the,,,
[55:51] code for that okay instead of typing,,,
[55:56] so that will come under the else section,,,
[55:59] okay because right now we have just,,,
[56:01] started with this if condition so let's,,,
[56:02] try to add the else part,,,
[56:12] [Music],,,
[56:18] [Music],,,
[56:27] all right so here let me just paste,,,
[56:32] it make sure it's in the same level,,,
[56:38] okay okay so here,,,
[56:42] uh else okay so here so we are just uh,,,
[56:45] now we are running the dashboard okay,,,
[56:48] that is as soon as the button is clicked,,,
[56:49] okay so like start tracking so here we,,,
[56:51] have ai water tracker dashboard okay we,,,
[56:54] have the sidebar like information like,,,
[56:56] log your water intake so where we going,,,
[56:58] to ask the user to enter the user ID and,,,
[57:01] the intake ml okay so this will,,,
[57:02] basically keep on updating uh like how,,,
[57:05] much of water they taking it okay so,,,
[57:07] next once they are done with the summit,,,
[57:09] okay so here uh that information will be,,,
[57:11] logged that is xt. success and here you,,,
[57:15] can see we are just calling this uh,,,
[57:17] object okay there's a water intake agent,,,
[57:20] and we are just analyzing we are just,,,
[57:22] calling that moduel analyze intake and,,,
[57:24] we just giving the feedback okay okay,,,
[57:26] and here this is the History Section,,,
[57:28] okay this is all about the intake and,,,
[57:29] here we have the History Section so we,,,
[57:31] are just uh just getting the information,,,
[57:33] in uh and uh showing in the form of,,,
[57:35] Panda's data frame that's it okay let me,,,
[57:38] just run this and let's test this contrl,,,
[57:40] s the first uh is we need to uh run the,,,
[57:44] uh server,,,
[57:46] correct,,,
[57:48] and we need two,,,
[57:50] terminals let me open one more here,,,
[57:54] and do cond activ,,,
[58:03] wait going to activate this,,,
[58:07] environment okay in the first,,,
[58:09] environment let me just run this,,,
[58:16] uvon so make sure Run This Server before,,,
[58:18] running the streamlet app okay and let,,,
[58:20] me just go and test this once again,,,
[58:23] whether it's running docs okay so it's,,,
[58:25] there fine so so now let me just run the,,,
[58:26] streamlit app so let me go to the,,,
[58:28] another terminal and to run this,,,
[58:30] streamlit so I need to type stream lit,,,
[58:35] run dashboard. dashboard the name of the,,,
[58:38] file is,,,
[58:40] dashboard,,,
[58:46] dopy let me allow this,,,
[58:59] yeah so you can see so I'm getting a,,,
[59:00] welcome message that is welcome to AI,,,
[59:02] water tracker so track your daily,,,
[59:04] hydration with help of AI assistant lag,,,
[59:07] your sorry log your intake get smart,,,
[59:09] feedback and stay healthy that's what we,,,
[59:10] have added here on the top in case you,,,
[59:12] want to add some other information you,,,
[59:14] can just add it over here all right so,,,
[59:16] first let click on start tracking okay,,,
[59:18] so now we are getting into the dashboard,,,
[59:20] okay and here uh So based on the user ID,,,
[59:23] this is what we have so in case if I,,,
[59:26] just try to add another 500 mL and click,,,
[59:29] on submit so this is logging the,,,
[59:31] information okay so as soon as it's,,,
[59:32] being logged you can see I'll get a,,,
[59:33] current update can you see here so,,,
[59:35] earlier B in the in the API I updated,,,
[59:38] this uh 2,000 ml again I just updated,,
[59:41] 2,000 ml then again I have just updated,,
[59:43] on 500 this is what I'm getting it right,,,
[59:45] so in case if you're adding some new,,,
[59:47] user let me just add here Iman and here,,,
[59:49] let me just take 500 and submit okay now,,,
[59:52] a logged 500 mL for the Imran okay can,,,
[59:55] see uh so automatically it uh added that,,,
[59:59] uh water intake history and it's showing,,,
[60:01] already 500 mL and here uh uh I'm,,,
[60:05] getting the AI feedback that is based on,,,
[60:07] the average recommendation same story,,,
[60:09] here okay uh aim for 1.5 L okay so now,,,
[60:11] let me just add,,,
[60:14] 600 700 and click on submit so now again,,,
[60:18] I should see for the Imran it is 5,000,,
[60:20] sorry 500 plus 700 can you see and even,,,
[60:23] I can see the chart over here,,,
[60:29] okay so if you want to add some other,,,
[60:31] user like uh test one 700 Summit so it,,,
[60:36] will be logged 700 for test one and same,,,
[60:40] information you can just track over here,,,
[60:42] all right so here let me just go here,,,
[60:44] and if I just go to my water tracker. DB,,,
[60:47] water intake and see all the users as,,,
[60:51] well as whatever I'm just adding over,,,
[60:53] there okay I'm able to see that here,,,
[60:56] okay so yes so this is absolutely,,,
[60:58] working fine so I hope you have,,,
[61:01] understood and uh you have enjoyed it,,,
[61:03] building this uh project okay so this is,,,
[61:07] a simple project okay so where we have,,,
[61:09] just understood the usage of how the,,,
[61:11] things are working in terms of uh,,,
[61:14] writing the code okay the flow okay you,,,
[61:16] can just take up this to Next Level by,,,
[61:18] adding some uh features like uh sending,,,
[61:20] an alert message okay and all those,,,
[61:22] things uh so yes keep learning keep,,,
[61:25] growing okay so all the best so see you,,,
[61:27] soon in the next new project,,,
